INPUT:image	OUTPUT:result	CONFIDENCE:result	
unlabelled/5211.png	no	99.99%	
unlabelled/6934.png	no	99.99%	
unlabelled/4184.png	no	99.99%	
unlabelled/8054.png	other	99.99%	
unlabelled/2105.png	no	99.99%	
unlabelled/7321.png	other	99.99%	
unlabelled/4536.png	no	99.99%	
unlabelled/7021.png	no	99.99%	
unlabelled/7784.png	no	99.99%	
unlabelled/7169.png	no	99.99%	
unlabelled/4977.png	no	99.99%	
unlabelled/6706.png	no	99.99%	
unlabelled/5470.png	no	99.99%	
unlabelled/4783.png	no	99.99%	
unlabelled/2617.png	no	99.99%	
unlabelled/3114.png	no	99.99%	
unlabelled/4250.png	other	100.00%	
unlabelled/3824.png	no	100.00%	
unlabelled/4403.png	other	99.99%	
unlabelled/6935.png	no	99.92%	
unlabelled/6774.png	no	100.00%	
unlabelled/7348.png	no	99.92%	
unlabelled/5388.png	no	99.99%	
unlabelled/3691.png	no	99.99%	
unlabelled/7031.png	other	100.00%	
unlabelled/6213.png	other	99.99%	
unlabelled/4758.png	no	99.99%	
unlabelled/6389.png	no	99.99%	
unlabelled/7522.png	no	99.99%	
unlabelled/8135.png	yes	99.99%	
unlabelled/5663.png	no	99.99%	
unlabelled/3492.png	no	100.00%	
unlabelled/7925.png	other	100.00%	
unlabelled/3766.png	no	99.99%	
unlabelled/5076.png	no	99.99%	
unlabelled/4098.png	other	100.00%	
unlabelled/2260.png	no	99.52%	
unlabelled/7006.png	no	99.99%	
unlabelled/4061.png	other	99.99%	
unlabelled/8213.png	other	98.43%	
unlabelled/4922.png	no	100.00%	
unlabelled/5039.png	no	100.00%	
unlabelled/2829.png	no	100.00%	
unlabelled/3180.png	no	100.00%	
unlabelled/8306.png	yes	100.00%	
unlabelled/4296.png	no	99.99%	
unlabelled/5142.png	no	99.98%	
unlabelled/3314.png	no	99.99%	
unlabelled/4872.png	no	99.99%	
unlabelled/4145.png	no	100.00%	
unlabelled/4627.png	no	99.99%	
unlabelled/6415.png	no	99.99%	
unlabelled/5503.png	no	100.00%	
unlabelled/7122.png	no	99.99%	
unlabelled/7593.png	other	99.99%	
unlabelled/6676.png	no	99.99%	
unlabelled/7730.png	no	100.00%	
unlabelled/6222.png	no	99.99%	
unlabelled/7599.png	no	100.00%	
unlabelled/3928.png	no	100.00%	
unlabelled/2597.png	no	100.00%	
unlabelled/6345.png	no	99.99%	
unlabelled/7547.png	no	99.99%	
unlabelled/4557.png	other	100.00%	
unlabelled/6591.png	no	99.99%	
unlabelled/3619.png	no	100.00%	
unlabelled/4873.png	no	100.00%	
unlabelled/5012.png	yes	99.99%	
unlabelled/7540.png	no	100.00%	
unlabelled/7468.png	no	100.00%	
unlabelled/2865.png	other	100.00%	
unlabelled/8321.png	no	99.99%	
unlabelled/2417.png	no	99.99%	
unlabelled/3674.png	no	99.99%	
unlabelled/7495.png	no	99.99%	
unlabelled/7442.png	no	100.00%	
unlabelled/5680.png	no	99.99%	
unlabelled/6426.png	no	99.99%	
unlabelled/7182.png	yes	100.00%	
unlabelled/7195.png	no	99.91%	
unlabelled/6584.png	no	99.93%	
unlabelled/7009.png	no	99.99%	
unlabelled/2483.png	no	99.99%	
unlabelled/2351.png	no	99.99%	
unlabelled/5854.png	no	100.00%	
unlabelled/3463.png	no	99.99%	
unlabelled/7359.png	yes	100.00%	
unlabelled/7804.png	no	99.99%	
unlabelled/6627.png	yes	100.00%	
unlabelled/3209.png	no	99.62%	
unlabelled/6163.png	no	100.00%	
unlabelled/3446.png	no	100.00%	
unlabelled/5961.png	no	99.99%	
unlabelled/3882.png	no	99.99%	
unlabelled/7302.png	no	99.99%	
unlabelled/4161.png	no	100.00%	
unlabelled/4793.png	other	100.00%	
unlabelled/4344.png	no	99.99%	
unlabelled/2463.png	no	100.00%	
unlabelled/2525.png	no	99.99%	
unlabelled/2606.png	no	99.98%	
unlabelled/6952.png	no	99.99%	
unlabelled/4003.png	no	99.99%	
unlabelled/7247.png	other	100.00%	
unlabelled/3846.png	yes	100.00%	
unlabelled/7052.png	no	100.00%	
unlabelled/2502.png	no	100.00%	
unlabelled/7609.png	other	100.00%	
unlabelled/3496.png	no	100.00%	
unlabelled/2200.png	no	100.00%	
unlabelled/4889.png	other	100.00%	
unlabelled/7898.png	other	100.00%	
unlabelled/6614.png	other	99.99%	
unlabelled/8392.png	no	99.99%	
unlabelled/2632.png	no	100.00%	
unlabelled/7147.png	other	100.00%	
unlabelled/8208.png	no	100.00%	
unlabelled/3351.png	other	100.00%	
unlabelled/8330.png	no	99.99%	
unlabelled/7152.png	no	100.00%	
unlabelled/4634.png	no	99.99%	
unlabelled/7143.png	no	99.99%	
unlabelled/6308.png	yes	99.99%	
unlabelled/7606.png	no	99.99%	
unlabelled/7499.png	no	99.99%	
unlabelled/2223.png	no	99.99%	
unlabelled/5861.png	yes	100.00%	
unlabelled/7521.png	no	100.00%	
unlabelled/6700.png	no	99.99%	
unlabelled/2365.png	other	100.00%	
unlabelled/4081.png	no	99.99%	
unlabelled/7205.png	no	99.99%	
unlabelled/8320.png	yes	99.99%	
unlabelled/5988.png	no	99.99%	
unlabelled/7772.png	no	100.00%	
unlabelled/8335.png	yes	100.00%	
unlabelled/6796.png	other	100.00%	
unlabelled/8422.png	yes	100.00%	
unlabelled/6937.png	yes	100.00%	
unlabelled/3805.png	no	100.00%	
unlabelled/5069.png	no	99.99%	
unlabelled/5339.png	no	99.99%	
unlabelled/4521.png	no	99.99%	
unlabelled/5629.png	no	99.99%	
unlabelled/7633.png	no	99.99%	
unlabelled/7488.png	no	99.99%	
unlabelled/6904.png	no	99.99%	
unlabelled/2103.png	no	100.00%	
unlabelled/3089.png	yes	98.57%	
unlabelled/4752.png	no	99.99%	
unlabelled/8376.png	no	99.99%	
unlabelled/4619.png	other	100.00%	
unlabelled/2197.png	yes	100.00%	
unlabelled/4495.png	no	99.99%	
unlabelled/4912.png	other	100.00%	
unlabelled/5992.png	no	100.00%	
unlabelled/7635.png	no	99.98%	
unlabelled/4670.png	no	99.99%	
unlabelled/6789.png	no	100.00%	
unlabelled/4715.png	yes	100.00%	
unlabelled/5225.png	no	99.99%	
unlabelled/3785.png	no	99.99%	
unlabelled/5649.png	no	100.00%	
unlabelled/2319.png	no	99.99%	
unlabelled/7357.png	no	99.99%	
unlabelled/7363.png	no	100.00%	
unlabelled/4552.png	no	99.97%	
unlabelled/5960.png	no	100.00%	
unlabelled/3774.png	yes	100.00%	
unlabelled/3013.png	no	99.98%	
unlabelled/5712.png	yes	100.00%	
unlabelled/8013.png	no	99.99%	
unlabelled/2674.png	yes	100.00%	
unlabelled/3614.png	no	99.99%	
unlabelled/2907.png	no	100.00%	
unlabelled/6193.png	no	99.99%	
unlabelled/5304.png	no	99.99%	
unlabelled/6919.png	other	99.99%	
unlabelled/6886.png	no	100.00%	
unlabelled/7655.png	no	99.99%	
unlabelled/2737.png	no	99.96%	
unlabelled/5401.png	other	100.00%	
unlabelled/5970.png	no	100.00%	
unlabelled/4445.png	no	100.00%	
unlabelled/8113.png	no	100.00%	
unlabelled/7926.png	no	99.99%	
unlabelled/2388.png	no	100.00%	
unlabelled/4825.png	no	100.00%	
unlabelled/3652.png	other	99.85%	
unlabelled/3323.png	no	99.99%	
unlabelled/7532.png	no	99.99%	
unlabelled/3246.png	no	99.99%	
unlabelled/3508.png	no	99.99%	
unlabelled/4812.png	no	99.99%	
unlabelled/7065.png	no	100.00%	
unlabelled/6124.png	other	99.99%	
unlabelled/3677.png	no	100.00%	
unlabelled/7420.png	no	100.00%	
unlabelled/5000.png	no	100.00%	
unlabelled/2823.png	no	100.00%	
unlabelled/5952.png	no	99.99%	
unlabelled/4084.png	no	99.99%	
unlabelled/2212.png	no	100.00%	
unlabelled/6634.png	no	100.00%	
unlabelled/3070.png	no	100.00%	
unlabelled/6000.png	no	99.99%	
unlabelled/7135.png	other	100.00%	
unlabelled/4056.png	no	99.99%	
unlabelled/5343.png	no	100.00%	
unlabelled/3218.png	other	100.00%	
unlabelled/2012.png	other	99.99%	
unlabelled/5487.png	no	99.99%	
unlabelled/2404.png	no	99.99%	
unlabelled/8279.png	no	99.98%	
unlabelled/5037.png	no	99.98%	
unlabelled/7419.png	no	100.00%	
unlabelled/3637.png	no	99.99%	
unlabelled/6841.png	no	99.99%	
unlabelled/3051.png	no	99.99%	
unlabelled/5499.png	no	99.99%	
unlabelled/8219.png	no	99.98%	
unlabelled/4483.png	no	99.99%	
unlabelled/4374.png	yes	100.00%	
unlabelled/4664.png	other	100.00%	
unlabelled/4060.png	no	99.99%	
unlabelled/4190.png	yes	100.00%	
unlabelled/5003.png	no	99.99%	
unlabelled/6150.png	no	99.99%	
unlabelled/4897.png	no	99.99%	
unlabelled/7953.png	no	99.99%	
unlabelled/2843.png	other	99.99%	
unlabelled/7483.png	no	99.99%	
unlabelled/5263.png	other	100.00%	
unlabelled/3754.png	no	99.99%	
unlabelled/4674.png	no	99.99%	
unlabelled/3966.png	no	99.99%	
unlabelled/5311.png	yes	100.00%	
unlabelled/6083.png	no	99.99%	
unlabelled/2409.png	no	99.98%	
unlabelled/6254.png	no	99.99%	
unlabelled/8495.png	no	100.00%	
unlabelled/7797.png	no	99.99%	
unlabelled/7360.png	no	99.99%	
unlabelled/4255.png	no	99.99%	
unlabelled/6244.png	yes	100.00%	
unlabelled/7242.png	no	99.99%	
unlabelled/5050.png	no	100.00%	
unlabelled/6401.png	no	100.00%	
unlabelled/5223.png	no	99.99%	
unlabelled/3531.png	no	99.99%	
unlabelled/4303.png	no	99.99%	
unlabelled/7430.png	no	99.99%	
unlabelled/7807.png	no	99.99%	
unlabelled/2966.png	no	99.99%	
unlabelled/6105.png	no	99.99%	
unlabelled/5862.png	no	99.99%	
unlabelled/7937.png	yes	100.00%	
unlabelled/7262.png	no	100.00%	
unlabelled/5589.png	no	99.99%	
unlabelled/2236.png	no	99.99%	
unlabelled/5932.png	no	76.87%	
unlabelled/6639.png	no	100.00%	
unlabelled/2203.png	no	100.00%	
unlabelled/5485.png	yes	100.00%	
unlabelled/3348.png	no	99.99%	
unlabelled/2585.png	no	99.99%	
unlabelled/2348.png	no	99.99%	
unlabelled/7220.png	yes	100.00%	
unlabelled/3565.png	no	99.99%	
unlabelled/4392.png	no	100.00%	
unlabelled/7622.png	other	99.99%	
unlabelled/7164.png	no	99.99%	
unlabelled/6782.png	other	99.99%	
unlabelled/6941.png	no	99.99%	
unlabelled/7239.png	other	100.00%	
unlabelled/7619.png	no	99.96%	
unlabelled/6911.png	no	99.99%	
unlabelled/3806.png	no	99.99%	
unlabelled/2034.png	no	99.99%	
unlabelled/3949.png	other	99.99%	
unlabelled/2488.png	no	99.99%	
unlabelled/6611.png	no	99.99%	
unlabelled/3935.png	no	99.99%	
unlabelled/6390.png	no	99.99%	
unlabelled/2464.png	other	99.99%	
unlabelled/7139.png	no	99.98%	
unlabelled/2780.png	other	100.00%	
unlabelled/4910.png	other	100.00%	
unlabelled/6355.png	no	99.99%	
unlabelled/7159.png	no	100.00%	
unlabelled/5202.png	no	99.99%	
unlabelled/7113.png	other	100.00%	
unlabelled/6132.png	no	100.00%	
unlabelled/4740.png	no	99.99%	
unlabelled/4379.png	no	99.99%	
unlabelled/3784.png	no	100.00%	
unlabelled/3500.png	no	100.00%	
unlabelled/2771.png	no	100.00%	
unlabelled/7223.png	no	99.99%	
unlabelled/3713.png	yes	100.00%	
unlabelled/5623.png	no	100.00%	
unlabelled/2432.png	no	99.99%	
unlabelled/7985.png	no	100.00%	
unlabelled/6853.png	no	100.00%	
unlabelled/7671.png	no	99.99%	
unlabelled/4516.png	no	99.99%	
unlabelled/6107.png	no	100.00%	
unlabelled/7114.png	no	99.99%	
unlabelled/7656.png	no	100.00%	
unlabelled/6839.png	no	100.00%	
unlabelled/4118.png	no	99.99%	
unlabelled/5768.png	no	99.99%	
unlabelled/5121.png	yes	99.99%	
unlabelled/5942.png	no	100.00%	
unlabelled/8351.png	other	100.00%	
unlabelled/5991.png	yes	100.00%	
unlabelled/5550.png	no	99.99%	
unlabelled/4037.png	yes	100.00%	
unlabelled/4043.png	yes	99.99%	
unlabelled/7157.png	no	100.00%	
unlabelled/5905.png	no	99.99%	
unlabelled/4981.png	no	99.99%	
unlabelled/3414.png	other	100.00%	
unlabelled/5765.png	no	100.00%	
unlabelled/8252.png	no	99.99%	
unlabelled/8357.png	no	99.99%	
unlabelled/3305.png	no	99.99%	
unlabelled/3834.png	no	99.97%	
unlabelled/3958.png	no	100.00%	
unlabelled/3355.png	no	99.99%	
unlabelled/6650.png	no	99.99%	
unlabelled/6883.png	no	100.00%	
unlabelled/3413.png	no	99.98%	
unlabelled/8065.png	no	99.97%	
unlabelled/8167.png	no	99.99%	
unlabelled/4560.png	no	99.99%	
unlabelled/2356.png	no	100.00%	
unlabelled/4933.png	no	100.00%	
unlabelled/5770.png	other	99.99%	
unlabelled/8035.png	no	100.00%	
unlabelled/4776.png	yes	100.00%	
unlabelled/4207.png	no	100.00%	
unlabelled/4142.png	no	99.99%	
unlabelled/4957.png	no	99.99%	
unlabelled/6458.png	other	100.00%	
unlabelled/4074.png	yes	100.00%	
unlabelled/2507.png	no	99.99%	
unlabelled/2664.png	no	99.99%	
unlabelled/5385.png	no	100.00%	
unlabelled/6984.png	no	99.99%	
unlabelled/3483.png	other	99.99%	
unlabelled/5238.png	no	99.99%	
unlabelled/3350.png	other	99.99%	
unlabelled/7125.png	yes	100.00%	
unlabelled/3112.png	no	99.99%	
unlabelled/7810.png	yes	97.54%	
unlabelled/4563.png	other	100.00%	
unlabelled/7183.png	no	100.00%	
unlabelled/4530.png	no	99.99%	
unlabelled/2474.png	no	99.99%	
unlabelled/7744.png	no	100.00%	
unlabelled/5072.png	yes	99.99%	
unlabelled/7662.png	no	99.99%	
unlabelled/3730.png	no	99.99%	
unlabelled/5107.png	no	99.99%	
unlabelled/5175.png	no	100.00%	
unlabelled/3612.png	no	99.99%	
unlabelled/7350.png	no	100.00%	
unlabelled/3449.png	yes	100.00%	
unlabelled/6502.png	other	99.99%	
unlabelled/3105.png	yes	100.00%	
unlabelled/2178.png	no	99.99%	
unlabelled/2253.png	no	99.98%	
unlabelled/6632.png	no	99.99%	
unlabelled/6999.png	yes	99.99%	
unlabelled/2564.png	other	99.99%	
unlabelled/8191.png	no	100.00%	
unlabelled/2804.png	other	99.99%	
unlabelled/5881.png	no	99.89%	
unlabelled/5441.png	no	99.99%	
unlabelled/3695.png	no	99.99%	
unlabelled/8281.png	yes	99.99%	
unlabelled/8499.png	no	100.00%	
unlabelled/4626.png	other	100.00%	
unlabelled/3083.png	other	100.00%	
unlabelled/5508.png	no	99.97%	
unlabelled/8333.png	no	99.99%	
unlabelled/2037.png	no	100.00%	
unlabelled/6053.png	no	99.99%	
unlabelled/3434.png	no	99.99%	
unlabelled/3085.png	no	99.99%	
unlabelled/5233.png	no	99.99%	
unlabelled/3974.png	no	99.99%	
unlabelled/7008.png	no	99.99%	
unlabelled/7757.png	no	99.99%	
unlabelled/4399.png	other	100.00%	
unlabelled/2041.png	no	99.84%	
unlabelled/6953.png	no	99.99%	
unlabelled/7960.png	no	99.99%	
unlabelled/6017.png	no	99.99%	
unlabelled/3673.png	no	99.99%	
unlabelled/5998.png	no	99.98%	
unlabelled/5868.png	no	99.98%	
unlabelled/3967.png	no	99.99%	
unlabelled/3471.png	no	99.99%	
unlabelled/6315.png	no	99.99%	
unlabelled/8064.png	no	99.99%	
unlabelled/4177.png	yes	100.00%	
unlabelled/2022.png	no	99.99%	
unlabelled/7708.png	other	100.00%	
unlabelled/5777.png	no	99.99%	
unlabelled/5030.png	no	99.99%	
unlabelled/6754.png	no	100.00%	
unlabelled/4154.png	no	99.99%	
unlabelled/7555.png	other	100.00%	
unlabelled/5626.png	no	99.99%	
unlabelled/5100.png	yes	100.00%	
unlabelled/4997.png	yes	100.00%	
unlabelled/6936.png	yes	100.00%	
unlabelled/7887.png	yes	100.00%	
unlabelled/4158.png	no	99.99%	
unlabelled/7734.png	no	99.99%	
unlabelled/2497.png	no	99.99%	
unlabelled/4181.png	no	99.94%	
unlabelled/3048.png	no	99.99%	
unlabelled/4309.png	no	99.99%	
unlabelled/6052.png	no	100.00%	
unlabelled/7697.png	no	100.00%	
unlabelled/6850.png	no	99.99%	
unlabelled/4794.png	no	99.99%	
unlabelled/3440.png	no	99.97%	
unlabelled/6494.png	no	99.97%	
unlabelled/4409.png	no	99.99%	
unlabelled/5525.png	no	99.99%	
unlabelled/2964.png	no	99.99%	
unlabelled/6414.png	other	100.00%	
unlabelled/7227.png	yes	100.00%	
unlabelled/6146.png	yes	100.00%	
unlabelled/3435.png	no	99.98%	
unlabelled/3379.png	yes	99.99%	
unlabelled/6552.png	no	100.00%	
unlabelled/3709.png	no	100.00%	
unlabelled/6743.png	no	100.00%	
unlabelled/7844.png	no	100.00%	
unlabelled/3152.png	no	100.00%	
unlabelled/5216.png	no	100.00%	
unlabelled/2898.png	no	100.00%	
unlabelled/5153.png	no	100.00%	
unlabelled/2523.png	no	100.00%	
unlabelled/8089.png	no	99.99%	
unlabelled/6597.png	no	99.99%	
unlabelled/8464.png	no	100.00%	
unlabelled/5783.png	no	100.00%	
unlabelled/2820.png	no	100.00%	
unlabelled/3196.png	no	100.00%	
unlabelled/2491.png	no	99.99%	
unlabelled/5867.png	no	100.00%	
unlabelled/8425.png	no	100.00%	
unlabelled/2287.png	no	100.00%	
unlabelled/4339.png	no	100.00%	
unlabelled/2855.png	other	100.00%	
unlabelled/2593.png	no	99.99%	
unlabelled/8121.png	no	100.00%	
unlabelled/5184.png	other	100.00%	
unlabelled/7574.png	no	99.99%	
unlabelled/6630.png	no	100.00%	
unlabelled/4680.png	no	99.99%	
unlabelled/6673.png	no	99.99%	
unlabelled/7016.png	no	99.99%	
unlabelled/8011.png	yes	100.00%	
unlabelled/3428.png	no	99.99%	
unlabelled/3391.png	no	99.99%	
unlabelled/6711.png	other	100.00%	
unlabelled/7254.png	yes	100.00%	
unlabelled/2181.png	other	99.99%	
unlabelled/4041.png	no	99.99%	
unlabelled/3646.png	no	99.99%	
unlabelled/2814.png	other	100.00%	
unlabelled/3091.png	no	99.99%	
unlabelled/2186.png	no	100.00%	
unlabelled/2049.png	no	99.99%	
unlabelled/2602.png	no	99.99%	
unlabelled/8363.png	no	100.00%	
unlabelled/6341.png	other	99.99%	
unlabelled/2751.png	no	99.99%	
unlabelled/5245.png	no	99.97%	
unlabelled/4780.png	no	99.97%	
unlabelled/7738.png	no	99.99%	
unlabelled/4539.png	yes	100.00%	
